batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season,player_name,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_contribution,strike_rate,total_score,total_wickets,total_balls,target,extras,match_number,result,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,economy,deliveries,wickets_taken,bowling_contribution,runs_conceded
62.9666,26.0915,20,11,0,50,6,1009,3,2,1,1,34.4715,40.7923,1,Upul Tharanga,14,15,3,0,1,0.05363984674329502,93.33,261,3,269,261.0,24,434258,1,0.0,0.0,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.1419,45.9018,20,11,0,50,6,1009,3,2,1,1,31.9185,59.914,1,Tillakaratne Dilshan,104,122,12,0,2,0.39846743295019155,85.25,261,3,269,261.0,24,434258,1,264.519,9.7462,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,28.0079,18.1202,5.33,18.0,1.0,0.06130268199233716,16.0
72.1185,45.5833,20,11,0,50,6,1009,3,2,1,1,41.6504,42.9488,1,Kumar Sangakkara,74,73,10,0,3,0.2835249042145594,101.37,261,3,269,261.0,24,434258,1,0.0,0.0,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.3753,47.0303,20,11,0,50,6,1009,3,2,1,1,50.5071,29.1962,1,Thilan Samaraweera,41,54,5,0,4,0.15708812260536398,75.93,261,3,269,261.0,24,434258,1,0.0,0.0,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.5617,10.5895,20,11,0,50,6,1009,3,2,1,1,10.7207,10.5895,1,Chamara Silva,4,7,0,0,5,0.01532567049808429,57.14,261,3,269,261.0,24,434258,1,0.0,0.0,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.8244,20.5623,20,11,0,50,6,1009,3,2,1,1,22.3991,22.8244,1,Suraj Randiv,0,0,0,0,10,0.0,0.0,261,3,269,261.0,24,434258,1,105.123,30.9399,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,30.2562,16.1213,5.1,60.0,2.0,0.19540229885057472,51.0
38.8512,38.8512,20,11,0,50,6,1009,3,2,1,1,9.5933,13.4982,1,Nuwan Kulasekara,0,0,0,0,10,0.0,0.0,261,3,269,261.0,24,434258,1,413.386,17.9419,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,31.5971,31.7433,4.6,60.0,1.0,0.17624521072796934,46.0
23.6093,0.2238,20,11,0,50,6,1009,3,2,1,1,5.44928,13.4704,1,Suranga Lakmal,0,0,0,0,10,0.0,0.0,261,3,269,261.0,24,434258,1,288.64,36.1368,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,58.5641,44.1083,7.0,54.0,2.0,0.2413793103448276,63.0
0.0,0.0,20,11,0,50,6,1009,3,2,1,1,0.0,0.0,1,Muthumudalige Pushpakumara,0,0,0,0,10,0.0,0.0,261,3,269,261.0,24,434258,1,0.0,10.0911,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,10.2164,10.7817,4.2,30.0,0.0,0.08045977011494253,21.0
0.0,4.4578,20,11,0,50,6,1009,3,2,1,1,4.4906,0.0,1,Chanaka Welegedara,0,0,0,0,10,0.0,0.0,261,3,269,261.0,24,434258,1,0.0,20.1244,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,19.6409,20.1245,4.88,48.0,0.0,0.14942528735632185,39.0
0.0,12.2085,20,11,0,50,6,1009,3,2,1,1,12.7989,0.0,1,Thilina Kandamby,0,0,0,0,10,0.0,0.0,261,3,269,261.0,24,434258,1,0.0,18.8501,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,19.1685,10.7817,4.2,30.0,0.0,0.08045977011494253,21.0
62.9666,26.0915,22,11,0,51,0,1010,3,2,1,1,34.4715,29.9183,1,Upul Tharanga,30,48,4,0,1,0.10600706713780919,62.5,283,5,288,280.0,18,434259,1,0.0,0.0,28.0,9.0,0.0,36.0,0.0,1010.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.017,23.4752,22,11,0,51,0,1010,3,2,1,1,29.1294,30.3221,1,Lahiru Thirimanne,22,24,4,0,2,0.07773851590106007,91.67,283,5,288,280.0,18,434259,1,0.0,0.0,28.0,9.0,0.0,36.0,0.0,1010.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
